Local time,Open,High,Low,Close,Volume
26.06.2012 00:00:00.000 GMT+0300,1.25030,1.25300,1.24416,1.24920,238743647827.1487
27.06.2012 00:00:00.000 GMT+0300,1.24923,1.25079,1.24450,1.24688,204241569580.0783
28.06.2012 00:00:00.000 GMT+0300,1.24676,1.25239,1.24071,1.24430,251080451660.15652
29.06.2012 00:00:00.000 GMT+0300,1.24430,1.26924,1.24323,1.26627,291968822387.6954
02.07.2012 00:00:00.000 GMT+0300,1.26750,1.26777,1.25679,1.25748,223118989990.23474
03.07.2012 00:00:00.000 GMT+0300,1.25750,1.26269,1.25586,1.26067,195499068725.58612
04.07.2012 00:00:00.000 GMT+0300,1.26067,1.26073,1.25082,1.25261,151329159851.0746
05.07.2012 00:00:00.000 GMT+0300,1.25264,1.25381,1.23638,1.23904,234926640869.1408
06.07.2012 00:00:00.000 GMT+0300,1.23905,1.24008,1.22596,1.22850,224123300415.03955
09.07.2012 00:00:00.000 GMT+0300,1.22584,1.23227,1.22558,1.23119,206298738525.39093
10.07.2012 00:00:00.000 GMT+0300,1.23114,1.23336,1.22350,1.22491,225927350341.79712
11.07.2012 00:00:00.000 GMT+0300,1.22490,1.22963,1.22120,1.22379,219403638427.7345
12.07.2012 00:00:00.000 GMT+0300,1.22379,1.22479,1.21670,1.22025,234654287963.86722
13.07.2012 00:00:00.000 GMT+0300,1.22024,1.22546,1.21620,1.22483,216421959350.58612
16.07.2012 00:00:00.000 GMT+0300,1.22646,1.22894,1.21755,1.22719,191785309082.0314
17.07.2012 00:00:00.000 GMT+0300,1.22713,1.23149,1.21885,1.22936,228052839355.4688
18.07.2012 00:00:00.000 GMT+0300,1.22936,1.23062,1.22165,1.22829,230472379638.67212
19.07.2012 00:00:00.000 GMT+0300,1.22829,1.23209,1.22288,1.22800,233014747924.805
20.07.2012 00:00:00.000 GMT+0300,1.22791,1.22825,1.21443,1.21563,217677793579.1016
23.07.2012 00:00:00.000 GMT+0300,1.21143,1.21442,1.20684,1.21158,253056249755.85974
24.07.2012 00:00:00.000 GMT+0300,1.21159,1.21372,1.20419,1.20590,245787819335.9376
25.07.2012 00:00:00.000 GMT+0300,1.20584,1.21674,1.20531,1.21574,253055857666.0159
26.07.2012 00:00:00.000 GMT+0300,1.21569,1.23284,1.21172,1.22817,249781559692.38312
