Date,Close*,Adj Close**,Volume,
"Nov 07, 2016","2,131.52","2,131.52","3,739,720,000","1,527.00"
"Nov 04, 2016","2,085.18","2,085.18","3,841,910,000","1,528.00"
"Nov 03, 2016","2,088.66","2,088.66","3,892,100,000","1,529.00"
"Nov 02, 2016","2,097.94","2,097.94","4,289,120,000","1,530.00"
"Nov 01, 2016","2,111.72","2,111.72","4,539,190,000","1,531.00"
"Oct 31, 2016","2,126.15","2,126.15","3,926,560,000","1,532.00"
"Oct 28, 2016","2,126.41","2,126.41","4,028,270,000","1,533.00"
"Oct 27, 2016","2,133.04","2,133.04","4,209,400,000","1,534.00"
"Oct 26, 2016","2,139.43","2,139.43","3,778,120,000","1,535.00"
"Oct 25, 2016","2,143.16","2,143.16","3,756,200,000","1,536.00"
"Oct 24, 2016","2,151.33","2,151.33","3,359,950,000","1,537.00"
"Oct 21, 2016","2,141.16","2,141.16","3,456,390,000","1,538.00"
"Oct 20, 2016","2,141.34","2,141.34","3,339,320,000","1,539.00"
"Oct 19, 2016","2,144.29","2,144.29","3,364,990,000","1,540.00"
"Oct 18, 2016","2,139.60","2,139.60","3,172,940,000","1,541.00"
"Oct 17, 2016","2,126.50","2,126.50","2,832,440,000","1,542.00"
"Oct 14, 2016","2,132.98","2,132.98","3,187,910,000","1,543.00"
"Oct 13, 2016","2,132.55","2,132.55","3,538,030,000","1,544.00"
"Oct 12, 2016","2,139.18","2,139.18","2,959,510,000","1,545.00"
"Oct 11, 2016","2,136.73","2,136.73","3,393,060,000","1,546.00"
"Oct 10, 2016","2,163.66","2,163.66","2,881,970,000","1,547.00"
"Oct 07, 2016","2,153.74","2,153.74","3,578,770,000","1,548.00"
"Oct 06, 2016","2,160.77","2,160.77","3,438,040,000","1,549.00"
"Oct 05, 2016","2,159.73","2,159.73","3,883,710,000","1,550.00"
"Oct 04, 2016","2,150.49","2,150.49","3,716,100,000","1,551.00"
"Oct 03, 2016","2,161.20","2,161.20","3,113,850,000","1,552.00"
"Sep 30, 2016","2,168.27","2,168.27","4,158,800,000","1,553.00"
"Sep 29, 2016","2,151.13","2,151.13","4,215,620,000","1,554.00"
"Sep 28, 2016","2,171.37","2,171.37","3,860,390,000","1,555.00"
"Sep 27, 2016","2,159.93","2,159.93","3,414,090,000","1,556.00"
"Sep 26, 2016","2,146.10","2,146.10","3,199,910,000","1,557.00"
"Sep 23, 2016","2,164.69","2,164.69","3,289,860,000","1,558.00"
"Sep 22, 2016","2,177.18","2,177.18","3,523,860,000","1,559.00"
"Sep 21, 2016","2,163.12","2,163.12","3,685,450,000","1,560.00"
"Sep 20, 2016","2,139.76","2,139.76","3,117,380,000","1,561.00"
"Sep 19, 2016","2,139.12","2,139.12","3,141,820,000","1,562.00"
"Sep 16, 2016","2,139.16","2,139.16","5,014,360,000","1,563.00"
"Sep 15, 2016","2,147.26","2,147.26","3,373,720,000","1,564.00"
"Sep 14, 2016","2,125.77","2,125.77","3,664,100,000","1,565.00"
"Sep 13, 2016","2,127.02","2,127.02","4,141,670,000","1,566.00"
"Sep 12, 2016","2,159.04","2,159.04","4,010,480,000","1,567.00"
"Sep 09, 2016","2,127.81","2,127.81","4,233,960,000","1,568.00"
"Sep 08, 2016","2,181.30","2,181.30","3,727,840,000","1,569.00"
"Sep 07, 2016","2,186.16","2,186.16","3,319,420,000","1,570.00"
"Sep 06, 2016","2,186.48","2,186.48","3,447,650,000","1,571.00"
"Sep 02, 2016","2,179.98","2,179.98","3,091,120,000","1,572.00"
"Sep 01, 2016","2,170.86","2,170.86","3,392,120,000","1,573.00"
"Aug 31, 2016","2,170.95","2,170.95","3,766,390,000","1,574.00"
"Aug 30, 2016","2,176.12","2,176.12","3,006,800,000","1,575.00"
"Aug 29, 2016","2,180.38","2,180.38","2,654,780,000","1,576.00"
"Aug 26, 2016","2,169.04","2,169.04","3,342,340,000","1,577.00"
"Aug 25, 2016","2,172.47","2,172.47","2,969,310,000","1,578.00"
"Aug 24, 2016","2,175.44","2,175.44","3,148,280,000","1,579.00"
"Aug 23, 2016","2,186.90","2,186.90","3,041,490,000","1,580.00"
"Aug 22, 2016","2,182.64","2,182.64","2,777,550,000","1,581.00"
"Aug 19, 2016","2,183.87","2,183.87","3,084,800,000","1,582.00"
"Aug 18, 2016","2,187.02","2,187.02","3,300,570,000","1,583.00"
"Aug 17, 2016","2,182.22","2,182.22","3,388,910,000","1,584.00"
"Aug 16, 2016","2,178.15","2,178.15","3,196,400,000","1,585.00"
"Aug 15, 2016","2,190.15","2,190.15","3,078,530,000","1,586.00"
"Aug 12, 2016","2,184.05","2,184.05","3,000,660,000","1,587.00"
"Aug 11, 2016","2,185.79","2,185.79","3,423,160,000","1,588.00"
"Aug 10, 2016","2,175.49","2,175.49","3,254,950,000","1,589.00"
"Aug 09, 2016","2,181.74","2,181.74","3,334,300,000","1,590.00"
"Aug 08, 2016","2,180.89","2,180.89","3,327,550,000","1,591.00"
"Aug 05, 2016","2,182.87","2,182.87","3,663,070,000","1,592.00"
"Aug 04, 2016","2,164.25","2,164.25","3,709,200,000","1,593.00"
"Aug 03, 2016","2,163.79","2,163.79","3,786,530,000","1,594.00"
"Aug 02, 2016","2,157.03","2,157.03","3,848,750,000","1,595.00"
