Local time,Open_eurusd,High_eurusd,Low_eurusd,Close_eurusd,Volume_eurusd,Inflation_Rate_EU,Inflation_Rate_USA,Interest_Rate_EU,Interest_Rate_GER,Funds_Rate_FED,Close_S&P500,Close_DAX
28.01.2012 00:00:00.000 GMT+0200,1.32158,1.32158,1.32158,1.32158,0,2.7,2.3,4.18,1.82,0.09,1316.33,6511.97998
29.01.2012 00:00:00.000 GMT+0200,1.32158,1.32158,1.32158,1.32158,0,2.7,2.3,4.18,1.82,0.09,1316.33,6511.97998
30.01.2012 00:00:00.000 GMT+0200,1.32192,1.32254,1.30791,1.31429,2.79E+11,2.7,2.3,4.18,1.82,0.09,1313.01,6444.450195
31.01.2012 00:00:00.000 GMT+0200,1.3143,1.32123,1.30431,1.30831,2.94E+11,2.7,2.3,4.18,1.82,0.11,1312.41,6458.910156
01.02.2012 00:00:00.000 GMT+0200,1.3083,1.32174,1.3026,1.31602,2.92E+11,2.7,2.2,4.01,1.85,0.11,1324.09,6616.640137
02.02.2012 00:00:00.000 GMT+0200,1.31602,1.31966,1.30864,1.31433,2.66E+11,2.7,2.2,4.01,1.85,0.11,1325.54,6655.629883
03.02.2012 00:00:00.000 GMT+0200,1.31435,1.31913,1.3068,1.31563,2.63E+11,2.7,2.2,4.01,1.85,0.11,1344.9,6766.669922
04.02.2012 00:00:00.000 GMT+0200,1.31563,1.31563,1.31563,1.31563,0,2.7,2.2,4.01,1.85,0.11,1344.9,6766.669922
05.02.2012 00:00:00.000 GMT+0200,1.31563,1.31563,1.31563,1.31563,0,2.7,2.2,4.01,1.85,0.11,1344.9,6766.669922
06.02.2012 00:00:00.000 GMT+0200,1.3111,1.31411,1.30277,1.31296,2.52E+11,2.7,2.2,4.01,1.85,0.11,1344.33,6764.830078
07.02.2012 00:00:00.000 GMT+0200,1.313,1.32692,1.30889,1.32601,2.73E+11,2.7,2.2,4.01,1.85,0.11,1347.05,6754.200195
08.02.2012 00:00:00.000 GMT+0200,1.32602,1.32859,1.32228,1.32597,2.62E+11,2.7,2.2,4.01,1.85,0.11,1349.96,6748.759766
09.02.2012 00:00:00.000 GMT+0200,1.32598,1.33193,1.32183,1.32853,2.61E+11,2.7,2.2,4.01,1.85,0.11,1351.95,6788.799805
10.02.2012 00:00:00.000 GMT+0200,1.32853,1.329,1.31561,1.31961,2.23E+11,2.7,2.2,4.01,1.85,0.12,1342.64,6692.959961
11.02.2012 00:00:00.000 GMT+0200,1.31961,1.31961,1.31961,1.31961,0,2.7,2.2,4.01,1.85,0.12,1342.64,6692.959961
12.02.2012 00:00:00.000 GMT+0200,1.31961,1.31961,1.31961,1.31961,0,2.7,2.2,4.01,1.85,0.12,1342.64,6692.959961
13.02.2012 00:00:00.000 GMT+0200,1.32042,1.32826,1.31858,1.3186,2.29E+11,2.7,2.2,4.01,1.85,0.12,1351.77,6738.470215
14.02.2012 00:00:00.000 GMT+0200,1.3186,1.32155,1.30801,1.31303,2.40E+11,2.7,2.2,4.01,1.85,0.12,1350.5,6728.189941
15.02.2012 00:00:00.000 GMT+0200,1.31306,1.31903,1.30441,1.30652,2.57E+11,2.7,2.2,4.01,1.85,0.12,1343.23,6757.939941
16.02.2012 00:00:00.000 GMT+0200,1.30653,1.31551,1.29751,1.31298,2.71E+11,2.7,2.2,4.01,1.85,0.11,1358.04,6751.959961
17.02.2012 00:00:00.000 GMT+0200,1.31299,1.31967,1.31149,1.31425,2.23E+11,2.7,2.2,4.01,1.85,0.09,1361.23,6848.029785
18.02.2012 00:00:00.000 GMT+0200,1.31425,1.31425,1.31425,1.31425,0,2.7,2.2,4.01,1.85,0.09,1361.23,6848.029785
19.02.2012 00:00:00.000 GMT+0200,1.31425,1.31425,1.31425,1.31425,0,2.7,2.2,4.01,1.85,0.09,1361.23,6848.029785
20.02.2012 00:00:00.000 GMT+0200,1.31795,1.32766,1.31733,1.32416,1.83E+11,2.7,2.2,4.01,1.85,0.09,1361.23,6948.25
21.02.2012 00:00:00.000 GMT+0200,1.3242,1.32926,1.3187,1.32329,2.58E+11,2.7,2.2,4.01,1.85,0.1,1362.21,6908.180176
22.02.2012 00:00:00.000 GMT+0200,1.32329,1.32638,1.32109,1.32493,2.20E+11,2.7,2.2,4.01,1.85,0.08,1357.66,6843.870117
23.02.2012 00:00:00.000 GMT+0200,1.32494,1.33779,1.32318,1.33707,2.14E+11,2.7,2.2,4.01,1.85,0.08,1363.46,6809.459961
24.02.2012 00:00:00.000 GMT+0200,1.33707,1.34857,1.33568,1.34461,2.21E+11,2.7,2.2,4.01,1.85,0.09,1365.74,6864.430176
25.02.2012 00:00:00.000 GMT+0200,1.34461,1.34461,1.34461,1.34461,0,2.7,2.2,4.01,1.85,0.09,1365.74,6864.430176
26.02.2012 00:00:00.000 GMT+0200,1.34461,1.34461,1.34461,1.34461,0,2.7,2.2,4.01,1.85,0.09,1365.74,6864.430176
27.02.2012 00:00:00.000 GMT+0200,1.34612,1.34787,1.33658,1.33966,2.56E+11,2.7,2.2,4.01,1.85,0.1,1367.59,6849.600098
28.02.2012 00:00:00.000 GMT+0200,1.33967,1.34708,1.33901,1.34606,2.58E+11,2.7,2.2,4.01,1.85,0.1,1372.18,6887.629883
29.02.2012 00:00:00.000 GMT+0200,1.34606,1.34853,1.33147,1.33238,2.68E+11,2.7,2.2,4.01,1.85,0.1,1365.68,6856.080078
01.03.2012 00:00:00.000 GMT+0200,1.33237,1.33556,1.3282,1.33112,2.51E+11,2.7,2.3,3.76,1.83,0.11,1374.09,6941.77002
02.03.2012 00:00:00.000 GMT+0200,1.33112,1.33326,1.31864,1.32003,2.23E+11,2.7,2.3,3.76,1.83,0.11,1369.63,6921.370117
03.03.2012 00:00:00.000 GMT+0200,1.32003,1.32003,1.32003,1.32003,0,2.7,2.3,3.76,1.83,0.11,1369.63,6921.370117
04.03.2012 00:00:00.000 GMT+0200,1.32003,1.32003,1.32003,1.32003,0,2.7,2.3,3.76,1.83,0.11,1369.63,6921.370117
05.03.2012 00:00:00.000 GMT+0200,1.31895,1.32386,1.31597,1.32162,2.33E+11,2.7,2.3,3.76,1.83,0.11,1364.33,6866.459961
06.03.2012 00:00:00.000 GMT+0200,1.32163,1.32256,1.31032,1.31116,2.49E+11,2.7,2.3,3.76,1.83,0.11,1343.36,6633.109863
07.03.2012 00:00:00.000 GMT+0200,1.31117,1.31638,1.30959,1.31491,2.20E+11,2.7,2.3,3.76,1.83,0.11,1352.63,6671.109863
08.03.2012 00:00:00.000 GMT+0200,1.31487,1.3291,1.3135,1.32741,2.19E+11,2.7,2.3,3.76,1.83,0.11,1365.91,6834.540039
09.03.2012 00:00:00.000 GMT+0200,1.3274,1.32772,1.30974,1.31227,2.11E+11,2.7,2.3,3.76,1.83,0.12,1370.87,6880.209961
10.03.2012 00:00:00.000 GMT+0200,1.31227,1.31227,1.31227,1.31227,0,2.7,2.3,3.76,1.83,0.12,1370.87,6880.209961
11.03.2012 00:00:00.000 GMT+0200,1.31227,1.31227,1.31227,1.31227,0,2.7,2.3,3.76,1.83,0.12,1370.87,6880.209961
11.03.2012 23:00:00.000 GMT+0200,1.30991,1.31583,1.30788,1.31549,2.07E+11,2.7,2.3,3.76,1.83,0.12,1371.09,6901.350098
12.03.2012 23:00:00.000 GMT+0200,1.31543,1.31902,1.30518,1.30837,2.28E+11,2.7,2.3,3.76,1.83,0.12,1395.95,6995.910156
13.03.2012 23:00:00.000 GMT+0200,1.30837,1.309,1.30108,1.30318,2.18E+11,2.7,2.3,3.76,1.83,0.13,1394.28,7079.419922
14.03.2012 23:00:00.000 GMT+0200,1.30316,1.31176,1.30035,1.30795,2.18E+11,2.7,2.3,3.76,1.83,0.14,1402.6,7144.450195
15.03.2012 23:00:00.000 GMT+0200,1.30796,1.31869,1.30486,1.31732,1.94E+11,2.7,2.3,3.76,1.83,0.15,1404.17,7157.819824
16.03.2012 23:00:00.000 GMT+0200,1.31732,1.31732,1.31732,1.31732,0,2.7,2.3,3.76,1.83,0.15,1404.17,7157.819824
17.03.2012 23:00:00.000 GMT+0200,1.31732,1.31732,1.31732,1.31732,0,2.7,2.3,3.76,1.83,0.15,1404.17,7157.819824
18.03.2012 23:00:00.000 GMT+0200,1.31743,1.32628,1.31417,1.32375,1.77E+11,2.7,2.3,3.76,1.83,0.15,1409.75,7154.220215
19.03.2012 23:00:00.000 GMT+0200,1.32375,1.32516,1.3172,1.32252,1.93E+11,2.7,2.3,3.76,1.83,0.15,1405.52,7054.939941
20.03.2012 23:00:00.000 GMT+0200,1.32252,1.32844,1.31788,1.32151,2.00E+11,2.7,2.3,3.76,1.83,0.15,1402.89,7071.319824
21.03.2012 23:00:00.000 GMT+0200,1.32151,1.32544,1.3135,1.31999,2.22E+11,2.7,2.3,3.76,1.83,0.14,1392.78,6981.259766
22.03.2012 23:00:00.000 GMT+0200,1.31999,1.32919,1.31907,1.32684,2.06E+11,2.7,2.3,3.76,1.83,0.14,1397.11,6995.620117
23.03.2012 23:00:00.000 GMT+0200,1.32684,1.32684,1.32684,1.32684,0,2.7,2.3,3.76,1.83,0.14,1397.11,6995.620117
24.03.2012 23:00:00.000 GMT+0200,1.32684,1.32684,1.32684,1.32684,0,2.7,2.3,3.76,1.83,0.14,1397.11,6995.620117
26.03.2012 00:00:00.000 GMT+0300,1.3269,1.33674,1.3192,1.33569,2.11E+11,2.7,2.3,3.76,1.83,0.14,1416.51,7079.22998
27.03.2012 00:00:00.000 GMT+0300,1.33581,1.33846,1.33121,1.33149,1.98E+11,2.7,2.3,3.76,1.83,0.14,1412.52,7078.899902
28.03.2012 00:00:00.000 GMT+0300,1.33149,1.33727,1.32772,1.33162,2.14E+11,2.7,2.3,3.76,1.83,0.13,1405.54,6998.799805
29.03.2012 00:00:00.000 GMT+0300,1.3316,1.33449,1.32524,1.33014,2.06E+11,2.7,2.3,3.76,1.83,0.13,1403.28,6875.149902
30.03.2012 00:00:00.000 GMT+0300,1.33011,1.33748,1.32937,1.33405,2.01E+11,2.7,2.3,3.76,1.83,0.09,1408.47,6946.830078
31.03.2012 00:00:00.000 GMT+0300,1.33405,1.33405,1.33405,1.33405,0,2.7,2.3,3.76,1.83,0.09,1408.47,6946.830078
01.04.2012 00:00:00.000 GMT+0300,1.33405,1.33405,1.33376,1.33376,0,2.6,2.3,3.87,1.62,0.09,1408.47,6946.830078
02.04.2012 00:00:00.000 GMT+0300,1.33584,1.33803,1.32777,1.33197,1.97E+11,2.6,2.3,3.87,1.62,0.15,1419.04,7056.649902
03.04.2012 00:00:00.000 GMT+0300,1.33194,1.33671,1.32131,1.32325,2.13E+11,2.6,2.3,3.87,1.62,0.15,1413.38,6982.279785
04.04.2012 00:00:00.000 GMT+0300,1.32325,1.32384,1.31073,1.31414,2.22E+11,2.6,2.3,3.87,1.62,0.15,1398.96,6784.060059
05.04.2012 00:00:00.000 GMT+0300,1.31414,1.31642,1.30353,1.30647,1.85E+11,2.6,2.3,3.87,1.62,0.15,1398.08,6775.259766
06.04.2012 00:00:00.000 GMT+0300,1.30646,1.31098,1.30503,1.30964,77262279053,2.6,2.3,3.87,1.62,0.12,1398.08,6775.259766
07.04.2012 00:00:00.000 GMT+0300,1.30964,1.30964,1.30964,1.30964,0,2.6,2.3,3.87,1.62,0.12,1398.08,6775.259766
08.04.2012 00:00:00.000 GMT+0300,1.30964,1.30964,1.30964,1.30964,0,2.6,2.3,3.87,1.62,0.12,1398.08,6775.259766
09.04.2012 00:00:00.000 GMT+0300,1.30985,1.31334,1.30337,1.31051,1.10E+11,2.6,2.3,3.87,1.62,0.16,1382.2,6775.259766
10.04.2012 00:00:00.000 GMT+0300,1.31048,1.3144,1.30538,1.30809,2.35E+11,2.6,2.3,3.87,1.62,0.15,1358.59,6606.430176
11.04.2012 00:00:00.000 GMT+0300,1.30808,1.31562,1.3066,1.31086,2.12E+11,2.6,2.3,3.87,1.62,0.16,1368.71,6674.72998
12.04.2012 00:00:00.000 GMT+0300,1.31086,1.32123,1.3102,1.31867,2.10E+11,2.6,2.3,3.87,1.62,0.15,1387.57,6743.240234
13.04.2012 00:00:00.000 GMT+0300,1.31867,1.32011,1.30692,1.30755,2.07E+11,2.6,2.3,3.87,1.62,0.15,1370.26,6583.899902
14.04.2012 00:00:00.000 GMT+0300,1.30755,1.30755,1.30755,1.30755,0,2.6,2.3,3.87,1.62,0.15,1370.26,6583.899902
15.04.2012 00:00:00.000 GMT+0300,1.30755,1.30755,1.30755,1.30755,0,2.6,2.3,3.87,1.62,0.15,1370.26,6583.899902
16.04.2012 00:00:00.000 GMT+0300,1.30632,1.31465,1.29958,1.31412,2.41E+11,2.6,2.3,3.87,1.62,0.15,1369.57,6625.189941
17.04.2012 00:00:00.000 GMT+0300,1.31412,1.31692,1.30902,1.31259,2.09E+11,2.6,2.3,3.87,1.62,0.16,1390.78,6801
18.04.2012 00:00:00.000 GMT+0300,1.31261,1.31403,1.30572,1.31223,2.25E+11,2.6,2.3,3.87,1.62,0.15,1385.14,6732.029785
19.04.2012 00:00:00.000 GMT+0300,1.31226,1.31608,1.30699,1.31367,2.35E+11,2.6,2.3,3.87,1.62,0.13,1376.92,6671.220215
20.04.2012 00:00:00.000 GMT+0300,1.31367,1.32263,1.31285,1.32159,2.18E+11,2.6,2.3,3.87,1.62,0.12,1378.53,6750.120117
21.04.2012 00:00:00.000 GMT+0300,1.32159,1.32159,1.32159,1.32159,0,2.6,2.3,3.87,1.62,0.12,1378.53,6750.120117
22.04.2012 00:00:00.000 GMT+0300,1.32159,1.32159,1.32159,1.32159,0,2.6,2.3,3.87,1.62,0.12,1378.53,6750.120117
23.04.2012 00:00:00.000 GMT+0300,1.31817,1.32101,1.31045,1.31559,2.10E+11,2.6,2.3,3.87,1.62,0.13,1366.94,6523
24.04.2012 00:00:00.000 GMT+0300,1.31559,1.32173,1.31447,1.31958,2.11E+11,2.6,2.3,3.87,1.62,0.14,1371.97,6590.410156
25.04.2012 00:00:00.000 GMT+0300,1.31958,1.32359,1.31736,1.32162,2.10E+11,2.6,2.3,3.87,1.62,0.15,1390.69,6704.5
26.04.2012 00:00:00.000 GMT+0300,1.32161,1.32625,1.31985,1.32209,1.88E+11,2.6,2.3,3.87,1.62,0.14,1399.98,6739.899902
27.04.2012 00:00:00.000 GMT+0300,1.32208,1.32698,1.3157,1.32535,2.33E+11,2.6,2.3,3.87,1.62,0.13,1403.36,6801.319824
28.04.2012 00:00:00.000 GMT+0300,1.32535,1.32535,1.32535,1.32535,0,2.6,2.3,3.87,1.62,0.13,1403.36,6801.319824
29.04.2012 00:00:00.000 GMT+0300,1.32535,1.32535,1.32535,1.32535,0,2.6,2.3,3.87,1.62,0.13,1403.36,6801.319824
30.04.2012 00:00:00.000 GMT+0300,1.32333,1.32663,1.32078,1.32384,1.91E+11,2.6,2.3,3.87,1.62,0.16,1397.91,6761.189941
01.05.2012 00:00:00.000 GMT+0300,1.32383,1.32828,1.32039,1.32362,1.45E+11,2.4,2.3,3.82,1.34,0.16,1405.82,6761.189941
02.05.2012 00:00:00.000 GMT+0300,1.32362,1.32412,1.31248,1.31578,2.03E+11,2.4,2.3,3.82,1.34,0.15,1402.31,6710.77002
03.05.2012 00:00:00.000 GMT+0300,1.31576,1.31791,1.3099,1.31499,1.88E+11,2.4,2.3,3.82,1.34,0.15,1391.57,6694.439941
04.05.2012 00:00:00.000 GMT+0300,1.31499,1.3178,1.30799,1.30824,1.88E+11,2.4,2.3,3.82,1.34,0.16,1369.1,6561.470215
05.05.2012 00:00:00.000 GMT+0300,1.30824,1.30824,1.30824,1.30824,0,2.4,2.3,3.82,1.34,0.16,1369.1,6561.470215
06.05.2012 00:00:00.000 GMT+0300,1.30824,1.30824,1.30824,1.30824,0,2.4,2.3,3.82,1.34,0.16,1369.1,6561.470215
07.05.2012 00:00:00.000 GMT+0300,1.30091,1.30642,1.2955,1.305,2.24E+11,2.4,2.3,3.82,1.34,0.16,1369.58,6569.47998
08.05.2012 00:00:00.000 GMT+0300,1.30499,1.30652,1.29823,1.30049,2.33E+11,2.4,2.3,3.82,1.34,0.16,1363.72,6444.740234
09.05.2012 00:00:00.000 GMT+0300,1.30048,1.3007,1.29107,1.29279,2.64E+11,2.4,2.3,3.82,1.34,0.15,1354.58,6475.310059
10.05.2012 00:00:00.000 GMT+0300,1.29279,1.29785,1.29236,1.29351,2.32E+11,2.4,2.3,3.82,1.34,0.15,1357.99,6518
11.05.2012 00:00:00.000 GMT+0300,1.29349,1.29572,1.29045,1.29153,2.28E+11,2.4,2.3,3.82,1.34,0.15,1353.39,6579.930176
12.05.2012 00:00:00.000 GMT+0300,1.29153,1.29153,1.29153,1.29153,0,2.4,2.3,3.82,1.34,0.15,1353.39,6579.930176
13.05.2012 00:00:00.000 GMT+0300,1.29153,1.29153,1.29153,1.29153,0,2.4,2.3,3.82,1.34,0.15,1353.39,6579.930176
14.05.2012 00:00:00.000 GMT+0300,1.28976,1.29042,1.2821,1.28228,2.27E+11,2.4,2.3,3.82,1.34,0.16,1338.35,6451.970215
15.05.2012 00:00:00.000 GMT+0300,1.28229,1.28686,1.27216,1.27285,2.47E+11,2.4,2.3,3.82,1.34,0.16,1330.66,6401.060059
16.05.2012 00:00:00.000 GMT+0300,1.27284,1.27585,1.26811,1.27153,2.81E+11,2.4,2.3,3.82,1.34,0.16,1324.8,6384.259766
17.05.2012 00:00:00.000 GMT+0300,1.27158,1.27489,1.26664,1.26972,2.61E+11,2.4,2.3,3.82,1.34,0.16,1304.86,6308.959961
18.05.2012 00:00:00.000 GMT+0300,1.26974,1.27936,1.26415,1.27826,2.67E+11,2.4,2.3,3.82,1.34,0.16,1295.22,6271.220215
19.05.2012 00:00:00.000 GMT+0300,1.27826,1.27826,1.27826,1.27826,0,2.4,2.3,3.82,1.34,0.16,1295.22,6271.220215
20.05.2012 00:00:00.000 GMT+0300,1.27826,1.27826,1.27826,1.27826,0,2.4,2.3,3.82,1.34,0.16,1295.22,6271.220215
21.05.2012 00:00:00.000 GMT+0300,1.27605,1.28236,1.2725,1.28169,2.44E+11,2.4,2.3,3.82,1.34,0.16,1315.99,6331.040039
22.05.2012 00:00:00.000 GMT+0300,1.28168,1.2819,1.26578,1.2683,2.57E+11,2.4,2.3,3.82,1.34,0.16,1316.63,6435.600098
23.05.2012 00:00:00.000 GMT+0300,1.2683,1.26877,1.25448,1.25816,2.96E+11,2.4,2.3,3.82,1.34,0.15,1318.86,6285.75
24.05.2012 00:00:00.000 GMT+0300,1.25817,1.26188,1.25154,1.25317,2.88E+11,2.4,2.3,3.82,1.34,0.15,1320.68,6315.890137
25.05.2012 00:00:00.000 GMT+0300,1.25315,1.26017,1.24984,1.25151,2.49E+11,2.4,2.3,3.82,1.34,0.15,1317.82,6339.939941
26.05.2012 00:00:00.000 GMT+0300,1.25151,1.25151,1.25151,1.25151,0,2.4,2.3,3.82,1.34,0.15,1317.82,6339.939941
27.05.2012 00:00:00.000 GMT+0300,1.25151,1.25151,1.25151,1.25151,0,2.4,2.3,3.82,1.34,0.15,1317.82,6339.939941
28.05.2012 00:00:00.000 GMT+0300,1.25726,1.2624,1.25245,1.25403,1.77E+11,2.4,2.3,3.82,1.34,0.15,1317.82,6323.189941
29.05.2012 00:00:00.000 GMT+0300,1.25401,1.25741,1.24606,1.25016,2.60E+11,2.4,2.3,3.82,1.34,0.16,1332.42,6396.839844
30.05.2012 00:00:00.000 GMT+0300,1.25011,1.2505,1.23613,1.23659,2.73E+11,2.4,2.3,3.82,1.34,0.16,1313.32,6280.799805
31.05.2012 00:00:00.000 GMT+0300,1.23658,1.24281,1.23363,1.23648,2.72E+11,2.4,2.3,3.82,1.34,0.16,1310.33,6264.379883
01.06.2012 00:00:00.000 GMT+0300,1.23648,1.24481,1.22913,1.24328,2.86E+11,2.4,2.2,3.79,1.3,0.16,1278.04,6050.290039
02.06.2012 00:00:00.000 GMT+0300,1.24328,1.24328,1.24328,1.24328,0,2.4,2.2,3.79,1.3,0.16,1278.04,6050.290039
03.06.2012 00:00:00.000 GMT+0300,1.24328,1.24328,1.24328,1.24328,0,2.4,2.2,3.79,1.3,0.16,1278.04,6050.290039
04.06.2012 00:00:00.000 GMT+0300,1.24128,1.25079,1.23856,1.24993,2.27E+11,2.4,2.2,3.79,1.3,0.17,1278.18,5978.22998
05.06.2012 00:00:00.000 GMT+0300,1.24992,1.25417,1.24098,1.24517,2.51E+11,2.4,2.2,3.79,1.3,0.17,1285.5,5969.399902
06.06.2012 00:00:00.000 GMT+0300,1.24518,1.25851,1.24405,1.25811,2.71E+11,2.4,2.2,3.79,1.3,0.16,1315.13,6093.990234
07.06.2012 00:00:00.000 GMT+0300,1.25811,1.26249,1.25398,1.25599,2.63E+11,2.4,2.2,3.79,1.3,0.16,1314.99,6144.220215
08.06.2012 00:00:00.000 GMT+0300,1.25599,1.25742,1.24353,1.25159,2.48E+11,2.4,2.2,3.79,1.3,0.17,1325.66,6130.819824
09.06.2012 00:00:00.000 GMT+0300,1.25159,1.25159,1.25159,1.25159,0,2.4,2.2,3.79,1.3,0.17,1325.66,6130.819824
10.06.2012 00:00:00.000 GMT+0300,1.25159,1.25159,1.25159,1.25159,0,2.4,2.2,3.79,1.3,0.17,1325.66,6130.819824
11.06.2012 00:00:00.000 GMT+0300,1.26385,1.26676,1.248,1.24825,2.64E+11,2.4,2.2,3.79,1.3,0.17,1308.93,6141.049805
12.06.2012 00:00:00.000 GMT+0300,1.24822,1.25287,1.24425,1.2503,2.77E+11,2.4,2.2,3.79,1.3,0.16,1324.18,6161.240234
13.06.2012 00:00:00.000 GMT+0300,1.25026,1.26098,1.24735,1.25566,2.68E+11,2.4,2.2,3.79,1.3,0.17,1314.88,6152.490234
14.06.2012 00:00:00.000 GMT+0300,1.25562,1.26362,1.25415,1.26316,2.58E+11,2.4,2.2,3.79,1.3,0.17,1329.1,6138.609863
15.06.2012 00:00:00.000 GMT+0300,1.26318,1.26642,1.2592,1.26381,2.25E+11,2.4,2.2,3.79,1.3,0.18,1342.84,6229.410156
16.06.2012 00:00:00.000 GMT+0300,1.26381,1.26381,1.26381,1.26381,0,2.4,2.2,3.79,1.3,0.18,1342.84,6229.410156
17.06.2012 00:00:00.000 GMT+0300,1.26381,1.26381,1.26381,1.26381,0,2.4,2.2,3.79,1.3,0.18,1342.84,6229.410156
18.06.2012 00:00:00.000 GMT+0300,1.26918,1.27474,1.25592,1.2576,2.74E+11,2.4,2.2,3.79,1.3,0.17,1344.78,6248.200195
19.06.2012 00:00:00.000 GMT+0300,1.2576,1.27302,1.25687,1.26846,2.58E+11,2.4,2.2,3.79,1.3,0.17,1357.98,6363.359863
20.06.2012 00:00:00.000 GMT+0300,1.26844,1.27408,1.26383,1.27068,2.56E+11,2.4,2.2,3.79,1.3,0.16,1355.69,6392.129883
21.06.2012 00:00:00.000 GMT+0300,1.27059,1.27071,1.25313,1.25396,2.65E+11,2.4,2.2,3.79,1.3,0.17,1325.51,6343.129883
22.06.2012 00:00:00.000 GMT+0300,1.25397,1.2583,1.25188,1.25669,2.22E+11,2.4,2.2,3.79,1.3,0.17,1335.02,6263.25
23.06.2012 00:00:00.000 GMT+0300,1.25669,1.25669,1.25669,1.25669,0,2.4,2.2,3.79,1.3,0.17,1335.02,6263.25
