,Close,Inflation_Rate_EU,Inflation_Rate_USA,Interest_Rate_EU,Interest_Rate_GER,Funds_Rate_FED,Close_S&P500,Close_DAX
178,1.24688,2.4,2.2,3.79,1.3,0.15,1331.85,6228.990234
179,1.2443,2.4,2.2,3.79,1.3,0.15,1329.04,6149.910156
180,1.26627,2.4,2.2,3.79,1.3,0.09,1362.16,6416.279785
181,1.26627,2.4,2.2,3.79,1.3,0.09,1362.16,6416.279785
182,1.26627,2.4,2.1,3.63,1.24,0.09,1362.16,6416.279785
183,1.25748,2.4,2.1,3.63,1.24,0.18,1365.51,6496.080078
184,1.26067,2.4,2.1,3.63,1.24,0.17,1374.02,6578.209961
185,1.25261,2.4,2.1,3.63,1.24,0.17,1374.02,6564.799805
186,1.23904,2.4,2.1,3.63,1.24,0.17,1367.58,6535.560059
187,1.2285,2.4,2.1,3.63,1.24,0.17,1354.68,6410.109863
188,1.2285,2.4,2.1,3.63,1.24,0.17,1354.68,6410.109863
189,1.2285,2.4,2.1,3.63,1.24,0.17,1354.68,6410.109863
190,1.23119,2.4,2.1,3.63,1.24,0.17,1352.46,6387.569824
191,1.22491,2.4,2.1,3.63,1.24,0.17,1341.47,6438.330078
192,1.22379,2.4,2.1,3.63,1.24,0.17,1341.45,6453.850098
193,1.22025,2.4,2.1,3.63,1.24,0.18,1334.76,6419.350098
194,1.22483,2.4,2.1,3.63,1.24,0.19,1356.78,6557.100098
195,1.22483,2.4,2.1,3.63,1.24,0.19,1356.78,6557.100098
196,1.22483,2.4,2.1,3.63,1.24,0.19,1356.78,6557.100098
197,1.22719,2.4,2.1,3.63,1.24,0.18,1353.64,6565.720215
198,1.22936,2.4,2.1,3.63,1.24,0.17,1363.67,6577.640137
199,1.22829,2.4,2.1,3.63,1.24,0.16,1372.78,6684.419922
200,1.228,2.4,2.1,3.63,1.24,0.13,1376.51,6758.390137
201,1.21563,2.4,2.1,3.63,1.24,0.13,1362.66,6630.02002
202,1.21563,2.4,2.1,3.63,1.24,0.13,1362.66,6630.02002
203,1.21563,2.4,2.1,3.63,1.24,0.13,1362.66,6630.02002
204,1.21158,2.4,2.1,3.63,1.24,0.14,1350.52,6419.330078
205,1.2059,2.4,2.1,3.63,1.24,0.15,1338.31,6390.410156
206,1.21574,2.4,2.1,3.63,1.24,0.15,1337.89,6406.52002
207,1.22817,2.4,2.1,3.63,1.24,0.14,1360.02,6582.959961
208,1.23182,2.4,2.1,3.63,1.24,0.14,1385.97,6689.399902
209,1.23182,2.4,2.1,3.63,1.24,0.14,1385.97,6689.399902
210,1.23182,2.4,2.1,3.63,1.24,0.14,1385.97,6689.399902
211,1.226,2.4,2.1,3.63,1.24,0.14,1385.3,6774.060059
212,1.23024,2.4,2.1,3.63,1.24,0.13,1379.32,6772.259766
213,1.22242,2.6,1.9,3.54,1.34,0.14,1375.14,6754.459961
214,1.21794,2.6,1.9,3.54,1.34,0.14,1365,6606.089844
215,1.23852,2.6,1.9,3.54,1.34,0.14,1390.99,6865.660156
216,1.23852,2.6,1.9,3.54,1.34,0.14,1390.99,6865.660156
217,1.23852,2.6,1.9,3.54,1.34,0.14,1390.99,6865.660156
218,1.23993,2.6,1.9,3.54,1.34,0.14,1394.23,6918.720215
219,1.2398,2.6,1.9,3.54,1.34,0.13,1401.35,6967.950195
220,1.23646,2.6,1.9,3.54,1.34,0.13,1402.22,6966.149902
221,1.23053,2.6,1.9,3.54,1.34,0.13,1402.8,6964.990234
222,1.22894,2.6,1.9,3.54,1.34,0.13,1405.87,6944.560059
223,1.22894,2.6,1.9,3.54,1.34,0.13,1405.87,6944.560059
224,1.22894,2.6,1.9,3.54,1.34,0.13,1405.87,6944.560059
225,1.23313,2.6,1.9,3.54,1.34,0.13,1404.11,6909.680176
226,1.2321,2.6,1.9,3.54,1.34,0.13,1403.93,6974.390137
227,1.22895,2.6,1.9,3.54,1.34,0.13,1405.53,6946.799805
228,1.2355,2.6,1.9,3.54,1.34,0.13,1415.51,6996.290039
229,1.23308,2.6,1.9,3.54,1.34,0.13,1418.16,7040.879883
230,1.23308,2.6,1.9,3.54,1.34,0.13,1418.16,7040.879883
231,1.23308,2.6,1.9,3.54,1.34,0.13,1418.16,7040.879883
232,1.23453,2.6,1.9,3.54,1.34,0.13,1418.13,7033.680176
233,1.24718,2.6,1.9,3.54,1.34,0.13,1413.17,7089.319824
234,1.25285,2.6,1.9,3.54,1.34,0.13,1413.49,7017.75
235,1.25629,2.6,1.9,3.54,1.34,0.13,1402.08,6949.569824
236,1.25107,2.6,1.9,3.54,1.34,0.13,1411.13,6971.069824
237,1.25107,2.6,1.9,3.54,1.34,0.13,1411.13,6971.069824
238,1.25107,2.6,1.9,3.54,1.34,0.13,1411.13,6971.069824
239,1.24985,2.6,1.9,3.54,1.34,0.13,1410.44,7047.450195
240,1.25642,2.6,1.9,3.54,1.34,0.13,1409.3,7002.680176
241,1.25298,2.6,1.9,3.54,1.34,0.13,1410.49,7010.569824
242,1.2506,2.6,1.9,3.54,1.34,0.14,1399.48,6895.490234
243,1.25738,2.6,1.9,3.54,1.34,0.13,1406.58,6970.790039
