Date,Price,Open,High,Low,Vol.,Change %,
09/11/2015,"1,961.05","1,951.45","1,961.05","1,939.19",,0.45%,"1,831.00"
09/14/2015,"1,953.03","1,963.06","1,963.06","1,948.27",,-0.41%,"1,830.00"
09/15/2015,"1,978.09","1,955.10","1,983.19","1,954.30",,1.28%,"1,829.00"
09/16/2015,"1,995.31","1,978.02","1,997.26","1,977.93",,0.87%,"1,828.00"
09/17/2015,"1,990.20","1,995.33","2,020.86","1,986.73",,-0.26%,"1,827.00"
09/18/2015,"1,958.03","1,989.66","1,989.66","1,953.45",,-1.62%,"1,826.00"
09/21/2015,"1,966.97","1,960.84","1,979.64","1,955.80",,0.46%,"1,825.00"
09/22/2015,"1,942.74","1,961.39","1,961.39","1,929.22",,-1.23%,"1,824.00"
09/23/2015,"1,938.76","1,943.24","1,949.52","1,932.57",,-0.20%,"1,823.00"
09/24/2015,"1,932.24","1,934.81","1,937.17","1,908.92",,-0.34%,"1,822.00"
09/25/2015,"1,931.34","1,935.93","1,952.89","1,921.50",,-0.05%,"1,821.00"
09/28/2015,"1,881.77","1,929.18","1,929.18","1,879.21",,-2.57%,"1,820.00"
09/29/2015,"1,884.09","1,881.90","1,899.48","1,871.91",,0.12%,"1,819.00"
09/30/2015,"1,920.03","1,887.14","1,920.53","1,887.14",,1.91%,"1,818.00"
10/01/2015,"1,923.82","1,919.65","1,927.21","1,900.70",,0.20%,"1,817.00"
10/02/2015,"1,951.36","1,921.77","1,951.36","1,893.70",,1.43%,"1,816.00"
10/05/2015,"1,987.05","1,954.33","1,989.17","1,954.33",,1.83%,"1,815.00"
10/06/2015,"1,979.92","1,986.63","1,991.62","1,971.99",,-0.36%,"1,814.00"
10/07/2015,"1,995.83","1,982.34","1,999.31","1,976.44",,0.80%,"1,813.00"
10/08/2015,"2,013.43","1,994.01","2,016.50","1,987.53",,0.88%,"1,812.00"
10/09/2015,"2,014.89","2,013.73","2,020.13","2,007.61",,0.07%,"1,811.00"
10/12/2015,"2,017.46","2,015.65","2,018.66","2,010.55",,0.13%,"1,810.00"
10/13/2015,"2,003.69","2,015.00","2,022.34","2,001.78",,-0.68%,"1,809.00"
10/14/2015,"1,994.24","2,003.66","2,009.56","1,990.73",,-0.47%,"1,808.00"
10/15/2015,"2,023.86","1,996.47","2,024.15","1,996.47",,1.49%,"1,807.00"
10/16/2015,"2,033.11","2,024.37","2,033.54","2,020.46",,0.46%,"1,806.00"
10/19/2015,"2,033.66","2,031.73","2,034.45","2,022.31",,0.03%,"1,805.00"
10/20/2015,"2,030.77","2,033.13","2,039.12","2,026.61",,-0.14%,"1,804.00"
10/21/2015,"2,018.94","2,033.47","2,037.97","2,017.22",,-0.58%,"1,803.00"
10/22/2015,"2,052.51","2,021.88","2,055.20","2,021.88",,1.66%,"1,802.00"
10/23/2015,"2,075.15","2,058.19","2,079.74","2,058.19",,1.10%,"1,801.00"
10/26/2015,"2,071.18","2,075.08","2,075.14","2,066.53",,-0.19%,"1,800.00"
10/27/2015,"2,065.89","2,068.75","2,070.37","2,058.84",,-0.26%,"1,799.00"
10/28/2015,"2,090.35","2,066.48","2,090.35","2,063.11",,1.18%,"1,798.00"
10/29/2015,"2,089.41","2,088.35","2,092.52","2,082.63",,-0.04%,"1,797.00"
10/30/2015,"2,079.36","2,090.00","2,094.32","2,079.34",,-0.48%,"1,796.00"
11/02/2015,"2,104.05","2,080.76","2,106.20","2,080.76",,1.19%,"1,795.00"
11/03/2015,"2,109.79","2,102.63","2,116.48","2,097.51",,0.27%,"1,794.00"
