datetime,symbol,open,high,low,close,volume
2022-12-12 07:33:00,OANDA:EURUSD,1.0567,1.05685,1.05662,1.05668,86.0
2022-12-12 07:34:00,OANDA:EURUSD,1.05668,1.05668,1.05643,1.05652,130.0
2022-12-12 07:35:00,OANDA:EURUSD,1.05652,1.0566,1.05648,1.05648,58.0
2022-12-12 07:36:00,OANDA:EURUSD,1.05648,1.05662,1.05642,1.0565,84.0
2022-12-12 07:37:00,OANDA:EURUSD,1.0565,1.05658,1.05642,1.05648,73.0
2022-12-12 07:38:00,OANDA:EURUSD,1.05648,1.05672,1.05648,1.05672,72.0
2022-12-12 07:39:00,OANDA:EURUSD,1.05672,1.05674,1.05654,1.05654,86.0
2022-12-12 07:40:00,OANDA:EURUSD,1.05654,1.05668,1.05652,1.05666,63.0
2022-12-12 07:41:00,OANDA:EURUSD,1.05666,1.05668,1.05662,1.05666,61.0
2022-12-12 07:42:00,OANDA:EURUSD,1.05666,1.05672,1.05638,1.05638,90.0
2022-12-12 07:43:00,OANDA:EURUSD,1.05638,1.05643,1.05627,1.05636,78.0
2022-12-12 07:44:00,OANDA:EURUSD,1.05636,1.05637,1.0562,1.05632,63.0
2022-12-12 07:45:00,OANDA:EURUSD,1.05632,1.05636,1.05614,1.05616,97.0
2022-12-12 07:46:00,OANDA:EURUSD,1.05616,1.05629,1.05616,1.05628,78.0
2022-12-12 07:47:00,OANDA:EURUSD,1.05628,1.05638,1.05621,1.05625,75.0
2022-12-12 07:48:00,OANDA:EURUSD,1.05625,1.05652,1.05625,1.05648,109.0
2022-12-12 07:49:00,OANDA:EURUSD,1.05648,1.05656,1.0563,1.05634,90.0
2022-12-12 07:50:00,OANDA:EURUSD,1.05634,1.05636,1.05606,1.0561,99.0
2022-12-12 07:51:00,OANDA:EURUSD,1.0561,1.05637,1.05606,1.0563,147.0
2022-12-12 07:52:00,OANDA:EURUSD,1.0563,1.05639,1.05624,1.05634,101.0
2022-12-12 07:53:00,OANDA:EURUSD,1.05634,1.05636,1.05618,1.05626,103.0
2022-12-12 07:54:00,OANDA:EURUSD,1.05626,1.05628,1.05609,1.05612,87.0
2022-12-12 07:55:00,OANDA:EURUSD,1.05612,1.05614,1.05584,1.0559,124.0
2022-12-12 07:56:00,OANDA:EURUSD,1.0559,1.05604,1.05552,1.05566,191.0
2022-12-12 07:57:00,OANDA:EURUSD,1.05566,1.05574,1.05539,1.0554,183.0
2022-12-12 07:58:00,OANDA:EURUSD,1.0554,1.0555,1.05537,1.05539,149.0
2022-12-12 07:59:00,OANDA:EURUSD,1.05539,1.05556,1.05538,1.05556,111.0
2022-12-12 08:00:00,OANDA:EURUSD,1.05556,1.05578,1.05556,1.05561,138.0
2022-12-12 08:01:00,OANDA:EURUSD,1.05561,1.05569,1.0555,1.05558,88.0
2022-12-12 08:02:00,OANDA:EURUSD,1.05558,1.05574,1.05556,1.05564,91.0
2022-12-12 08:03:00,OANDA:EURUSD,1.05564,1.05564,1.05534,1.05539,126.0
2022-12-12 08:04:00,OANDA:EURUSD,1.05539,1.05576,1.05539,1.05562,153.0
2022-12-12 08:05:00,OANDA:EURUSD,1.05562,1.05573,1.05556,1.0557,129.0
2022-12-12 08:06:00,OANDA:EURUSD,1.0557,1.056,1.05569,1.05592,92.0
2022-12-12 08:07:00,OANDA:EURUSD,1.05592,1.05593,1.0558,1.05582,106.0
2022-12-12 08:08:00,OANDA:EURUSD,1.05582,1.05608,1.05582,1.05606,130.0
2022-12-12 08:09:00,OANDA:EURUSD,1.05606,1.05618,1.05602,1.05607,119.0
2022-12-12 08:10:00,OANDA:EURUSD,1.05607,1.05618,1.05603,1.05618,94.0
2022-12-12 08:11:00,OANDA:EURUSD,1.05618,1.05626,1.05609,1.0562,111.0
2022-12-12 08:12:00,OANDA:EURUSD,1.0562,1.0562,1.05608,1.05614,73.0
2022-12-12 08:13:00,OANDA:EURUSD,1.05614,1.05632,1.05614,1.05617,124.0
2022-12-12 08:14:00,OANDA:EURUSD,1.05617,1.05621,1.0561,1.05614,86.0
2022-12-12 08:15:00,OANDA:EURUSD,1.05614,1.05628,1.05608,1.05618,159.0
2022-12-12 08:16:00,OANDA:EURUSD,1.05618,1.05627,1.05608,1.05624,108.0
2022-12-12 08:17:00,OANDA:EURUSD,1.05624,1.05636,1.05622,1.05628,94.0
2022-12-12 08:18:00,OANDA:EURUSD,1.05628,1.05646,1.05627,1.05633,92.0
2022-12-12 08:19:00,OANDA:EURUSD,1.05633,1.0564,1.05626,1.0564,93.0
2022-12-12 08:20:00,OANDA:EURUSD,1.0564,1.05646,1.05602,1.05603,110.0
2022-12-12 08:21:00,OANDA:EURUSD,1.05603,1.05616,1.05598,1.05604,95.0
2022-12-12 08:22:00,OANDA:EURUSD,1.05604,1.05642,1.05604,1.05642,120.0
2022-12-12 08:23:00,OANDA:EURUSD,1.05642,1.05692,1.05642,1.05687,138.0
2022-12-12 08:24:00,OANDA:EURUSD,1.05687,1.05696,1.05678,1.0568,125.0
2022-12-12 08:25:00,OANDA:EURUSD,1.0568,1.05698,1.0568,1.05696,94.0
2022-12-12 08:26:00,OANDA:EURUSD,1.05696,1.057,1.05691,1.05698,78.0
2022-12-12 08:27:00,OANDA:EURUSD,1.05698,1.05704,1.0569,1.057,72.0
2022-12-12 08:28:00,OANDA:EURUSD,1.057,1.0572,1.05694,1.05699,91.0
2022-12-12 08:29:00,OANDA:EURUSD,1.05699,1.05704,1.05691,1.05704,87.0
2022-12-12 08:30:00,OANDA:EURUSD,1.05704,1.0571,1.05682,1.05708,128.0
2022-12-12 08:31:00,OANDA:EURUSD,1.05708,1.05716,1.0568,1.05684,123.0
2022-12-12 08:32:00,OANDA:EURUSD,1.05684,1.05696,1.05678,1.05685,87.0
2022-12-12 08:33:00,OANDA:EURUSD,1.05685,1.05688,1.05676,1.05681,78.0
2022-12-12 08:34:00,OANDA:EURUSD,1.05681,1.05692,1.05678,1.05691,125.0
2022-12-12 08:35:00,OANDA:EURUSD,1.05691,1.05698,1.05687,1.05693,100.0
2022-12-12 08:36:00,OANDA:EURUSD,1.05693,1.05704,1.05688,1.05702,62.0
2022-12-12 08:37:00,OANDA:EURUSD,1.05702,1.05706,1.05696,1.05701,67.0
2022-12-12 08:38:00,OANDA:EURUSD,1.05701,1.05728,1.057,1.05722,102.0
2022-12-12 08:39:00,OANDA:EURUSD,1.05722,1.05727,1.0571,1.05712,74.0
2022-12-12 08:40:00,OANDA:EURUSD,1.05712,1.05716,1.05691,1.05712,88.0
2022-12-12 08:41:00,OANDA:EURUSD,1.05712,1.05715,1.05696,1.057,41.0
2022-12-12 08:42:00,OANDA:EURUSD,1.057,1.057,1.05666,1.05674,114.0
2022-12-12 08:43:00,OANDA:EURUSD,1.05674,1.05678,1.05669,1.05676,81.0
2022-12-12 08:44:00,OANDA:EURUSD,1.05676,1.05686,1.05672,1.0568,103.0
