Local time,Open,High,Low,Close,Volume
21.05.2013 17:00:00.000 GMT-0400,1.29057,1.29978,1.28335,1.28580,266778.5847
22.05.2013 17:00:00.000 GMT-0400,1.28577,1.29539,1.28214,1.29328,282804.8121
23.05.2013 17:00:00.000 GMT-0400,1.29327,1.29928,1.29043,1.29323,223434.4991
26.05.2013 17:00:00.000 GMT-0400,1.29347,1.29485,1.29159,1.29292,84218.5106
27.05.2013 17:00:00.000 GMT-0400,1.29293,1.29468,1.28494,1.28547,224345.68849999996
28.05.2013 17:00:00.000 GMT-0400,1.28547,1.29750,1.28380,1.29403,266016.4392
29.05.2013 17:00:00.000 GMT-0400,1.29403,1.30614,1.29333,1.30481,256263.2097
30.05.2013 17:00:00.000 GMT-0400,1.30485,1.30594,1.29440,1.29953,225232.2008
02.06.2013 17:00:00.000 GMT-0400,1.29933,1.31074,1.29556,1.30757,209715.03929999997
03.06.2013 17:00:00.000 GMT-0400,1.30757,1.31012,1.30418,1.30805,241965.7792
04.06.2013 17:00:00.000 GMT-0400,1.30809,1.31142,1.30529,1.30927,276105.0718
05.06.2013 17:00:00.000 GMT-0400,1.30929,1.33054,1.30749,1.32457,318639.13920000003
06.06.2013 17:00:00.000 GMT-0400,1.32454,1.32846,1.31918,1.32187,309422.22750000004
09.06.2013 17:00:00.000 GMT-0400,1.31906,1.32689,1.31775,1.32568,238059.20050000004
10.06.2013 17:00:00.000 GMT-0400,1.32563,1.33173,1.32320,1.33129,319813.1804
11.06.2013 17:00:00.000 GMT-0400,1.33122,1.33591,1.32655,1.33365,284939.4255
12.06.2013 17:00:00.000 GMT-0400,1.33375,1.33902,1.32785,1.33759,313183.6627
13.06.2013 17:00:00.000 GMT-0400,1.33761,1.33762,1.32948,1.33467,239003.17219999997
16.06.2013 17:00:00.000 GMT-0400,1.33476,1.33815,1.33184,1.33666,167441.2993
17.06.2013 17:00:00.000 GMT-0400,1.33666,1.34155,1.33255,1.33920,217670.52990000002
18.06.2013 17:00:00.000 GMT-0400,1.33910,1.34155,1.32620,1.32937,183086.99159999998
19.06.2013 17:00:00.000 GMT-0400,1.32946,1.33011,1.31612,1.32202,262244.9903
20.06.2013 17:00:00.000 GMT-0400,1.32204,1.32541,1.30985,1.31215,199516.13869999998
23.06.2013 17:00:00.000 GMT-0400,1.30912,1.31438,1.30590,1.31193,198360.48939999996
24.06.2013 17:00:00.000 GMT-0400,1.31198,1.31506,1.30650,1.30812,194897.3189
25.06.2013 17:00:00.000 GMT-0400,1.30806,1.30870,1.29849,1.30119,190264.22900000005
26.06.2013 17:00:00.000 GMT-0400,1.30119,1.30546,1.30000,1.30385,188122.50899999996
27.06.2013 17:00:00.000 GMT-0400,1.30382,1.31029,1.29913,1.30096,188764.94879999998
30.06.2013 17:00:00.000 GMT-0400,1.30146,1.30667,1.30055,1.30637,138778.71060000002
01.07.2013 17:00:00.000 GMT-0400,1.30632,1.30779,1.29634,1.29780,166050.371
02.07.2013 17:00:00.000 GMT-0400,1.29784,1.30288,1.29229,1.30092,191096.85950000002
03.07.2013 17:00:00.000 GMT-0400,1.30106,1.30233,1.28830,1.29134,144102.52070000002
04.07.2013 17:00:00.000 GMT-0400,1.29134,1.29167,1.28063,1.28303,176660.82039999997
07.07.2013 17:00:00.000 GMT-0400,1.28106,1.28819,1.28106,1.28704,145926.0605
08.07.2013 17:00:00.000 GMT-0400,1.28705,1.28980,1.27552,1.27810,185217.2314
09.07.2013 17:00:00.000 GMT-0400,1.27810,1.29836,1.27648,1.29779,207489.41960000005
10.07.2013 17:00:00.000 GMT-0400,1.29774,1.32060,1.29633,1.30964,279597.879
11.07.2013 17:00:00.000 GMT-0400,1.30968,1.31001,1.29990,1.30679,175886.661
14.07.2013 17:00:00.000 GMT-0400,1.30763,1.30800,1.29930,1.30617,164752.08969999998
15.07.2013 17:00:00.000 GMT-0400,1.30617,1.31745,1.30528,1.31621,205597.9681
16.07.2013 17:00:00.000 GMT-0400,1.31620,1.31768,1.30829,1.31248,211428.31050000002
17.07.2013 17:00:00.000 GMT-0400,1.31252,1.31272,1.30660,1.31090,176017.82959999997
18.07.2013 17:00:00.000 GMT-0400,1.31091,1.31532,1.30893,1.31427,167703.04030000002
21.07.2013 17:00:00.000 GMT-0400,1.31384,1.32179,1.31357,1.31851,163666.8797
22.07.2013 17:00:00.000 GMT-0400,1.31854,1.32386,1.31631,1.32230,176903.2013
23.07.2013 17:00:00.000 GMT-0400,1.32230,1.32560,1.31767,1.32007,208829.16979999997
24.07.2013 17:00:00.000 GMT-0400,1.32006,1.32958,1.31655,1.32767,206869.7708
25.07.2013 17:00:00.000 GMT-0400,1.32767,1.32968,1.32525,1.32786,178032.64840000003
28.07.2013 17:00:00.000 GMT-0400,1.32854,1.32949,1.32388,1.32617,343308.7275999999
29.07.2013 17:00:00.000 GMT-0400,1.32620,1.33012,1.32340,1.32618,376682.97210000013
30.07.2013 17:00:00.000 GMT-0400,1.32617,1.33447,1.32141,1.33025,429368.93850000005
31.07.2013 17:00:00.000 GMT-0400,1.33025,1.33107,1.31932,1.32063,237484.25979999997
01.08.2013 17:00:00.000 GMT-0400,1.32063,1.32937,1.31892,1.32805,194048.12969999996
04.08.2013 17:00:00.000 GMT-0400,1.32833,1.32999,1.32329,1.32579,164281.91079999995
05.08.2013 17:00:00.000 GMT-0400,1.32579,1.33229,1.32460,1.33045,170193.5883
06.08.2013 17:00:00.000 GMT-0400,1.33045,1.33453,1.32654,1.33350,191471.6107
07.08.2013 17:00:00.000 GMT-0400,1.33356,1.34003,1.33278,1.33808,180239.15159999998
08.08.2013 17:00:00.000 GMT-0400,1.33806,1.33903,1.33324,1.33413,140977.9691
11.08.2013 17:00:00.000 GMT-0400,1.33196,1.33436,1.32770,1.32995,138703.6285
12.08.2013 17:00:00.000 GMT-0400,1.32997,1.33170,1.32333,1.32624,184238.9311
13.08.2013 17:00:00.000 GMT-0400,1.32627,1.32799,1.32389,1.32549,162375.1881
14.08.2013 17:00:00.000 GMT-0400,1.32549,1.33627,1.32054,1.33460,212891.39150000003
15.08.2013 17:00:00.000 GMT-0400,1.33467,1.33798,1.33110,1.33283,195670.18930000006
18.08.2013 17:00:00.000 GMT-0400,1.33296,1.33745,1.33151,1.33339,159437.52180000002
19.08.2013 17:00:00.000 GMT-0400,1.33339,1.34518,1.33234,1.34168,198969.71050000004
20.08.2013 17:00:00.000 GMT-0400,1.34171,1.34268,1.33345,1.33553,211767.49060000002
