Local time,Open,High,Low,Close,Volume
10.05.2012 17:00:00.000 GMT-0400,1.00194,1.00541,0.99535,1.00034,141333.9416
13.05.2012 17:00:00.000 GMT-0400,1.00008,1.00523,0.99918,1.00366,123002.0499
14.05.2012 17:00:00.000 GMT-0400,1.00363,1.00729,0.99896,1.00708,144482.261
15.05.2012 17:00:00.000 GMT-0400,1.00708,1.01319,1.00535,1.01208,158831.79849999998
16.05.2012 17:00:00.000 GMT-0400,1.01208,1.01955,1.01044,1.01951,149077.08930000002
17.05.2012 17:00:00.000 GMT-0400,1.01948,1.02269,1.01383,1.02194,150667.79880000002
20.05.2012 17:00:00.000 GMT-0400,1.02190,1.02460,1.01645,1.01729,129511.60070000001
21.05.2012 17:00:00.000 GMT-0400,1.01737,1.02343,1.01517,1.02046,130559.34060000001
22.05.2012 17:00:00.000 GMT-0400,1.02049,1.02958,1.02023,1.02510,158757.08169999998
23.05.2012 17:00:00.000 GMT-0400,1.02509,1.02954,1.02258,1.02686,158025.03080000004
24.05.2012 17:00:00.000 GMT-0400,1.02686,1.03112,1.02467,1.02912,127116.34990000003
27.05.2012 17:00:00.000 GMT-0400,1.02623,1.02711,1.02230,1.02362,74103.2093
28.05.2012 17:00:00.000 GMT-0400,1.02370,1.02696,1.02067,1.02209,133237.7903
29.05.2012 17:00:00.000 GMT-0400,1.02202,1.03107,1.02156,1.03006,155639.9807
30.05.2012 17:00:00.000 GMT-0400,1.03001,1.03656,1.02616,1.03280,150025.1099
31.05.2012 17:00:00.000 GMT-0400,1.03280,1.04422,1.03158,1.04080,164002.34010000003
03.06.2012 17:00:00.000 GMT-0400,1.03899,1.04457,1.03690,1.03907,136751.89099999997
04.06.2012 17:00:00.000 GMT-0400,1.03917,1.04253,1.03608,1.03793,131706.3108
05.06.2012 17:00:00.000 GMT-0400,1.03791,1.03835,1.02704,1.02753,136726.7515
06.06.2012 17:00:00.000 GMT-0400,1.02749,1.02956,1.02100,1.02778,139320.25089999998
07.06.2012 17:00:00.000 GMT-0400,1.02773,1.03541,1.02535,1.02535,135195.89109999998
10.06.2012 17:00:00.000 GMT-0400,1.02179,1.03163,1.02007,1.03159,131096.21680000002
11.06.2012 17:00:00.000 GMT-0400,1.03159,1.03254,1.02560,1.02640,147491.87890000004
12.06.2012 17:00:00.000 GMT-0400,1.02650,1.03016,1.02413,1.03007,142356.11209999997
13.06.2012 17:00:00.000 GMT-0400,1.03007,1.03016,1.02246,1.02255,141937.75000000003
14.06.2012 17:00:00.000 GMT-0400,1.02256,1.02557,1.02139,1.02139,115240.8698
17.06.2012 17:00:00.000 GMT-0400,1.02064,1.02789,1.01918,1.02414,153147.91920000003
18.06.2012 17:00:00.000 GMT-0400,1.02413,1.02436,1.01664,1.01773,169418.20149999997
19.06.2012 17:00:00.000 GMT-0400,1.01767,1.02316,1.01592,1.01808,165989.2501
20.06.2012 17:00:00.000 GMT-0400,1.01811,1.02960,1.01759,1.02960,179635.5101
21.06.2012 17:00:00.000 GMT-0400,1.02953,1.02996,1.02404,1.02409,157870.94019999998
24.06.2012 17:00:00.000 GMT-0400,1.02686,1.03176,1.02484,1.02914,139956.80019999997
25.06.2012 17:00:00.000 GMT-0400,1.02927,1.02961,1.02327,1.02375,154408.36049999998
26.06.2012 17:00:00.000 GMT-0400,1.02375,1.02669,1.02351,1.02466,147037.08939999997
27.06.2012 17:00:00.000 GMT-0400,1.02473,1.03623,1.02313,1.03294,185037.9604
28.06.2012 17:00:00.000 GMT-0400,1.03293,1.03412,1.01629,1.01629,204246.53809999998
30.06.2012 17:00:00.000 GMT-0400,1.01629,1.01643,1.01629,1.01643,0
01.07.2012 17:00:00.000 GMT-0400,1.01625,1.02009,1.01553,1.01704,159020.2497
02.07.2012 17:00:00.000 GMT-0400,1.01699,1.01721,1.01181,1.01224,138927.2003
03.07.2012 17:00:00.000 GMT-0400,1.01224,1.01415,1.01158,1.01274,113549.3711
04.07.2012 17:00:00.000 GMT-0400,1.01274,1.01567,1.01000,1.01404,161922.74190000002
05.07.2012 17:00:00.000 GMT-0400,1.01409,1.02075,1.01358,1.01931,151973.47060000003
08.07.2012 17:00:00.000 GMT-0400,1.02051,1.02204,1.01828,1.01891,132550.7908
09.07.2012 17:00:00.000 GMT-0400,1.01890,1.02290,1.01657,1.02244,148668.0691
10.07.2012 17:00:00.000 GMT-0400,1.02243,1.02303,1.01727,1.01926,148056.6381
11.07.2012 17:00:00.000 GMT-0400,1.01942,1.02498,1.01766,1.01897,158672.74920000002
12.07.2012 17:00:00.000 GMT-0400,1.01897,1.02030,1.01291,1.01379,148969.85170000003
15.07.2012 17:00:00.000 GMT-0400,1.01328,1.01726,1.01284,1.01481,130950.92070000002
16.07.2012 17:00:00.000 GMT-0400,1.01478,1.01690,1.01175,1.01178,154497.82979999998
17.07.2012 17:00:00.000 GMT-0400,1.01178,1.01488,1.01000,1.01009,138795.3003
18.07.2012 17:00:00.000 GMT-0400,1.01008,1.01063,1.00654,1.00724,135013.2999
19.07.2012 17:00:00.000 GMT-0400,1.00718,1.01300,1.00680,1.01260,130630.34049999999
22.07.2012 17:00:00.000 GMT-0400,1.01379,1.02040,1.01288,1.01863,154635.49020000003
23.07.2012 17:00:00.000 GMT-0400,1.01865,1.02266,1.01574,1.02198,152102.58100000003
24.07.2012 17:00:00.000 GMT-0400,1.02195,1.02311,1.01387,1.01536,159124.2795
25.07.2012 17:00:00.000 GMT-0400,1.01539,1.01656,1.00627,1.01004,160708.29210000002
26.07.2012 17:00:00.000 GMT-0400,1.00999,1.01055,1.00278,1.00288,164399.291
29.07.2012 17:00:00.000 GMT-0400,1.00387,1.00530,1.00131,1.00152,144047.19829999996
30.07.2012 17:00:00.000 GMT-0400,1.00148,1.00428,1.00031,1.00304,144735.97030000002
31.07.2012 17:00:00.000 GMT-0400,1.00301,1.00562,1.00034,1.00535,146625.9497
01.08.2012 17:00:00.000 GMT-0400,1.00539,1.00840,1.00010,1.00724,158467.9285
02.08.2012 17:00:00.000 GMT-0400,1.00733,1.00765,0.99798,1.00113,165910.65939999997
05.08.2012 17:00:00.000 GMT-0400,1.00129,1.00198,0.99832,1.00010,138650.8499
06.08.2012 17:00:00.000 GMT-0400,1.00008,1.00115,0.99621,0.99669,153365.2205
07.08.2012 17:00:00.000 GMT-0400,0.99669,0.99885,0.99361,0.99416,173556.12030000004
08.08.2012 17:00:00.000 GMT-0400,0.99416,0.99503,0.99093,0.99093,171007.37939999995
09.08.2012 17:00:00.000 GMT-0400,0.99093,0.99699,0.99058,0.99072,151651.01049999997
12.08.2012 17:00:00.000 GMT-0400,0.99123,0.99395,0.99050,0.99241,149097.5113
13.08.2012 17:00:00.000 GMT-0400,0.99241,0.99405,0.99063,0.99219,151528.61109999998
14.08.2012 17:00:00.000 GMT-0400,0.99210,0.99349,0.98860,0.98927,119854.59150000001
15.08.2012 17:00:00.000 GMT-0400,0.98929,0.98997,0.98597,0.98648,121016.75019999998
16.08.2012 17:00:00.000 GMT-0400,0.98648,0.99004,0.98612,0.98914,114091.54100000001
19.08.2012 17:00:00.000 GMT-0400,0.98865,0.99014,0.98752,0.98840,104693.4606
20.08.2012 17:00:00.000 GMT-0400,0.98840,0.98989,0.98418,0.98906,121460.12080000002
21.08.2012 17:00:00.000 GMT-0400,0.98906,0.99467,0.98855,0.99122,127378.9901
22.08.2012 17:00:00.000 GMT-0400,0.99123,0.99480,0.98848,0.99377,136667.9002
23.08.2012 17:00:00.000 GMT-0400,0.99380,0.99470,0.99043,0.99208,125664.5518
26.08.2012 17:00:00.000 GMT-0400,0.99202,0.99246,0.98897,0.99060,70685.56009999999
27.08.2012 17:00:00.000 GMT-0400,0.99061,0.99172,0.98422,0.98814,134499.3108
28.08.2012 17:00:00.000 GMT-0400,0.98809,0.98987,0.98658,0.98936,110819.3199
29.08.2012 17:00:00.000 GMT-0400,0.98935,0.99314,0.98888,0.99240,116498.68
30.08.2012 17:00:00.000 GMT-0400,0.99234,0.99305,0.98512,0.98593,138385.3605
31.08.2012 17:00:00.000 GMT-0400,0.98593,0.98593,0.98584,0.98584,0
02.09.2012 17:00:00.000 GMT-0400,0.98741,0.98777,0.98516,0.98576,87237.9798
03.09.2012 17:00:00.000 GMT-0400,0.98564,0.98747,0.98424,0.98579,123363.22869999999
04.09.2012 17:00:00.000 GMT-0400,0.98553,0.99180,0.98553,0.99046,138464.65910000002
05.09.2012 17:00:00.000 GMT-0400,0.99046,0.99142,0.98085,0.98259,156474.57099999997
06.09.2012 17:00:00.000 GMT-0400,0.98255,0.98347,0.97649,0.97829,126530.87079999999
09.09.2012 17:00:00.000 GMT-0400,0.97762,0.97882,0.97541,0.97758,94387.43049999999
10.09.2012 17:00:00.000 GMT-0400,0.97755,0.97770,0.97130,0.97295,104491.25839999998
11.09.2012 17:00:00.000 GMT-0400,0.97299,0.97678,0.97149,0.97604,116163.5104
12.09.2012 17:00:00.000 GMT-0400,0.97602,0.97736,0.96648,0.96838,114475.17010000002
