,Close,MA10,MACD,ROC,Momentum,RSI,BOLU,BOLD,CCI,Inflation_Rate_EU,Inflation_Rate_USA,Interest_Rate_EU,Interest_Rate_GER,Funds_Rate_FED,Close_S&P500,Close_DAX
54,1.30795,1.314239,-0.001725834,0.003660277,-0.00754,42.2559139,1.346356467,1.300035533,-117.8690846,2.7,2.2,4.01,1.85,0.09,1365.74,6864.430176
55,1.31732,1.313968,-0.001449953,0.007163882,0.00895,49.9769764,1.346395233,1.299845434,-67.2592068,2.7,2.2,4.01,1.85,0.09,1365.74,6864.430176
56,1.32375,1.314181,-0.000704349,0.004881122,0.02057,54.60510526,1.346324839,1.299750827,-11.4986105,2.7,2.2,4.01,1.85,0.09,1365.74,6864.430176
57,1.32252,1.315317,-0.000210279,-0.000929178,0.01457,53.55202129,1.346224077,1.299639256,-9.138495475,2.7,2.2,4.01,1.85,0.1,1367.59,6849.600098
58,1.32151,1.315977,9.86E-05,-0.000763694,0.00419,52.62603585,1.346141657,1.299569343,-1.729920938,2.7,2.2,4.01,1.85,0.1,1372.18,6887.629883
59,1.31999,1.315235,0.000218292,-0.001150199,-0.00376,51.14716726,1.345079527,1.299327806,-19.01741303,2.7,2.2,4.01,1.85,0.1,1365.68,6856.080078
60,1.32684,1.316692,0.000855988,0.005189433,0.00432,57.17341335,1.342178349,1.300436984,31.27658384,2.7,2.3,3.76,1.83,0.11,1374.09,6941.77002
61,1.33569,1.318712,0.002051835,0.006669983,0.01418,63.61622025,1.340027,1.301505667,88.08108108,2.7,2.3,3.76,1.83,0.11,1369.63,6921.370117
62,1.33149,1.321024,0.002630327,-0.003144442,0.0115,58.94059516,1.337426558,1.303073109,130.0174625,2.7,2.3,3.76,1.83,0.11,1369.63,6921.370117
63,1.33162,1.323868,0.003063957,9.76E-05,0.00478,59.04411883,1.33623824,1.30373576,122.0967906,2.7,2.3,3.76,1.83,0.11,1369.63,6921.370117
64,1.33014,1.326087,0.003250715,-0.001111428,-0.00555,57.21919561,1.335930271,1.303876729,101.6218147,2.7,2.3,3.76,1.83,0.11,1364.33,6866.459961
65,1.33405,1.32776,0.0036719,0.00293954,0.00256,60.77774533,1.337424773,1.303347894,125.6288794,2.7,2.3,3.76,1.83,0.11,1343.36,6633.109863
66,1.33376,1.328761,0.003936909,-0.000217383,0.00214,60.36395484,1.339077432,1.303032568,111.8318082,2.7,2.3,3.76,1.83,0.11,1352.63,6671.109863
67,1.33197,1.329706,0.00395688,-0.001342071,0.00183,57.67113708,1.340391853,1.303509147,90.96116443,2.7,2.3,3.76,1.83,0.11,1365.91,6834.540039
68,1.32325,1.32988,0.003231821,-0.006546694,-0.0108,46.4541808,1.340781214,1.304466119,39.3197758,2.7,2.3,3.76,1.83,0.12,1370.87,6880.209961
69,1.31414,1.329295,0.001900202,-0.006884565,-0.01962,37.89780336,1.340633021,1.303904312,-51.19456822,2.7,2.3,3.76,1.83,0.12,1370.87,6880.209961
70,1.30647,1.327258,0.000223404,-0.005836517,-0.0255,32.32757792,1.341022034,1.302738299,-105.7277451,2.7,2.3,3.76,1.83,0.12,1370.87,6880.209961
71,1.30964,1.324653,-0.000839995,0.002426386,-0.01361,36.60641209,1.341306565,1.302002102,-103.1512385,2.7,2.3,3.76,1.83,0.12,1371.09,6901.350098
72,1.31051,1.322555,-0.001594168,0.000664305,-0.00363,37.80558715,1.341427613,1.30170272,-97.23560086,2.7,2.3,3.76,1.83,0.12,1395.95,6995.910156
73,1.30809,1.320202,-0.002359925,-0.001846609,0.00162,35.7173942,1.340929969,1.302687364,-100.3701477,2.7,2.3,3.76,1.83,0.13,1394.28,7079.419922
74,1.31086,1.318274,-0.002712016,0.002117591,0.00122,39.93674284,1.340544608,1.303506725,-90.54910678,2.7,2.3,3.76,1.83,0.14,1402.6,7144.450195
75,1.31867,1.316736,-0.002333944,0.005957921,0.00816,50.18090665,1.34046636,1.30389264,-45.98342599,2.7,2.3,3.76,1.83,0.15,1404.17,7157.819824
76,1.30755,1.314115,-0.002898201,-0.008432739,-0.00054,39.51803426,1.340554046,1.302817621,-80.26678781,2.7,2.3,3.76,1.83,0.15,1404.17,7157.819824
77,1.31412,1.31233,-0.002783153,0.005024664,0.00326,46.9220588,1.340684885,1.301469115,-85.6816507,2.7,2.3,3.76,1.83,0.15,1404.17,7157.819824
78,1.31259,1.311264,-0.00278335,-0.001164277,-0.00608,45.48140582,1.340503584,1.30067375,-55.32657585,2.7,2.3,3.76,1.83,0.15,1409.75,7154.220215
79,1.31223,1.311073,-0.002780503,-0.000274267,0.00468,45.11923569,1.340519242,1.299759758,-64.90285454,2.7,2.3,3.76,1.83,0.15,1405.52,7054.939941
80,1.31367,1.311793,-0.002631714,0.001097369,-0.00045,46.99514514,1.340027425,1.298972909,-49.54982649,2.7,2.3,3.76,1.83,0.15,1402.89,7071.319824
81,1.32159,1.312988,-0.001853356,0.006028911,0.009,56.15401226,1.338816285,1.299032048,0.729059452,2.7,2.3,3.76,1.83,0.14,1392.78,6981.259766
82,1.31559,1.313496,-0.001701042,-0.004539986,0.00336,49.02359674,1.336750933,1.299293734,-18.97068425,2.7,2.3,3.76,1.83,0.14,1397.11,6995.620117
83,1.31958,1.314645,-0.001244033,0.00303286,0.00591,53.3961488,1.334913207,1.29977046,11.37461003,2.7,2.3,3.76,1.83,0.14,1397.11,6995.620117
84,1.32162,1.315721,-0.000709065,0.001545946,3.00E-05,55.56155519,1.333577222,1.300196444,39.24573193,2.7,2.3,3.76,1.83,0.14,1397.11,6995.620117
85,1.32209,1.316063,-0.000244357,0.000355624,0.0065,56.08391101,1.331445299,1.301238034,70.15520902,2.7,2.3,3.76,1.83,0.14,1416.51,7079.22998
86,1.32535,1.317843,0.000382572,0.002465793,0.00577,59.73184181,1.32895617,1.302609163,84.40357987,2.7,2.3,3.76,1.83,0.14,1412.52,7078.899902
87,1.32384,1.318815,0.00074894,-0.001139322,0.00222,57.28297407,1.32669664,1.303984693,112.2741433,2.7,2.3,3.76,1.83,0.13,1405.54,6998.799805
88,1.32362,1.319918,0.001009896,-0.000166183,0.00153,56.90530156,1.325988809,1.304393191,122.5747253,2.7,2.3,3.76,1.83,0.13,1403.28,6875.149902
89,1.31578,1.320273,0.000577426,-0.00592315,-0.00957,45.12496776,1.326086773,1.30441756,30.00894809,2.7,2.3,3.76,1.83,0.09,1408.47,6946.830078
90,1.31499,1.320405,0.000168997,-0.000600404,-0.00885,44.10276004,1.32596432,1.305086013,-18.11377784,2.7,2.3,3.76,1.83,0.09,1408.47,6946.830078
91,1.30824,1.31907,-0.000691385,-0.005133119,-0.01538,36.29682311,1.3257972,1.305532467,-64.13386265,2.6,2.3,3.87,1.62,0.09,1408.47,6946.830078
92,1.305,1.318011,-0.001616056,-0.00247661,-0.01078,33.16604899,1.326693361,1.303959639,-179.6892431,2.6,2.3,3.87,1.62,0.15,1419.04,7056.649902
93,1.30049,1.316102,-0.002681869,-0.003455939,-0.0145,29.26231019,1.327528324,1.302370342,-169.0157674,2.6,2.3,3.87,1.62,0.15,1413.38,6982.279785
94,1.29279,1.313219,-0.00410059,-0.005920845,-0.01545,23.92109834,1.329415078,1.298866256,-213.2752431,2.6,2.3,3.87,1.62,0.15,1398.96,6784.060059
95,1.29351,1.310361,-0.005107958,0.000556935,-0.01149,25.33700896,1.330460687,1.29560798,-178.9029945,2.6,2.3,3.87,1.62,0.15,1398.08,6775.259766
96,1.29153,1.306979,-0.005996944,-0.001530719,-0.00896,23.97369237,1.33166728,1.292505387,-164.3263235,2.6,2.3,3.87,1.62,0.12,1398.08,6775.259766
97,1.28228,1.302823,-0.007362993,-0.007162048,-0.01051,18.73965332,1.333739963,1.287981037,-183.1334691,2.6,2.3,3.87,1.62,0.12,1398.08,6775.259766
98,1.27285,1.297746,-0.009101602,-0.007354088,-0.02066,15.02413808,1.336201808,1.281963859,-183.8110559,2.6,2.3,3.87,1.62,0.12,1398.08,6775.259766
99,1.27153,1.293321,-0.010465337,-0.001037043,-0.02,14.57469299,1.338723264,1.275559403,-171.7928509,2.6,2.3,3.87,1.62,0.16,1382.2,6775.259766
100,1.26972,1.288794,-0.011558915,-0.001423482,-0.01256,13.9393731,1.34032657,1.269773096,-149.0253958,2.6,2.3,3.87,1.62,0.15,1358.59,6606.430176
101,1.27826,1.285796,-0.011602728,0.006725892,0.00541,29.9478883,1.339927409,1.265662258,-117.7167321,2.6,2.3,3.87,1.62,0.16,1368.71,6674.72998
102,1.28169,1.283465,-0.011231211,0.002683335,0.01016,35.31731966,1.338988802,1.262917532,-87.01597328,2.6,2.3,3.87,1.62,0.15,1387.57,6743.240234
103,1.2683,1.280246,-0.011880293,-0.010447144,-0.00142,26.50517394,1.337744685,1.259501648,-101.446018,2.6,2.3,3.87,1.62,0.15,1370.26,6583.899902
104,1.25816,1.276783,-0.013062335,-0.007994954,-0.0201,21.90606958,1.336668354,1.254539313,-130.1671309,2.6,2.3,3.87,1.62,0.15,1370.26,6583.899902
105,1.25317,1.272749,-0.01423764,-0.003966109,-0.02852,20.00778348,1.334848447,1.24963922,-132.3322643,2.6,2.3,3.87,1.62,0.15,1370.26,6583.899902
106,1.25151,1.268747,-0.015128632,-0.001324641,-0.01679,19.38681619,1.332132216,1.245471784,-123.3597375,2.6,2.3,3.87,1.62,0.15,1369.57,6625.189941
107,1.25403,1.265922,-0.015453271,0.002013568,-0.00413,23.39701046,1.327844892,1.243013441,-105.3637162,2.6,2.3,3.87,1.62,0.16,1390.78,6801
108,1.25016,1.263653,-0.015840231,-0.003086051,-0.00301,21.56636515,1.322786349,1.240783318,-114.52117,2.6,2.3,3.87,1.62,0.15,1385.14,6732.029785
109,1.23659,1.260159,-0.017045396,-0.010854611,-0.01492,16.52799221,1.319193121,1.236737879,-141.5522705,2.6,2.3,3.87,1.62,0.13,1376.92,6671.220215
110,1.23648,1.256835,-0.017804138,-8.90E-05,-0.01755,16.4932873,1.315397644,1.232870689,-142.0649094,2.6,2.3,3.87,1.62,0.12,1378.53,6750.120117
111,1.24328,1.253337,-0.017653249,0.005499482,-0.00688,27.01905985,1.310762349,1.230278984,-123.9504051,2.6,2.3,3.87,1.62,0.12,1378.53,6750.120117
112,1.24993,1.250161,-0.01680337,0.005348755,0.01334,35.81062082,1.306484911,1.228968423,-84.53219565,2.6,2.3,3.87,1.62,0.12,1378.53,6750.120117
113,1.24517,1.247848,-0.016325733,-0.003808213,0.00869,32.67966505,1.301424086,1.228531914,-75.17153574,2.6,2.3,3.87,1.62,0.13,1366.94,6523
114,1.25811,1.247843,-0.014733218,0.010392155,0.01483,46.74398053,1.296954983,1.22887135,-41.54064215,2.6,2.3,3.87,1.62,0.14,1371.97,6590.410156
115,1.25599,1.248125,-0.013486738,-0.001685067,0.00606,45.03141575,1.29188913,1.230228536,-17.86092264,2.6,2.3,3.87,1.62,0.15,1390.69,6704.5
116,1.25159,1.248133,-0.012707453,-0.003503213,0.00642,41.52319894,1.286457567,1.2314881,-45.9401347,2.6,2.3,3.87,1.62,0.14,1399.98,6739.899902
